Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Descripcion_Psicologica
2,3,3,4,3,4,3,4,2,3,"Asertivo, Seguro"
4,4,3,4,2,2,1,3,2,3,"Distante, Reservado, Amable, Relajado"
4,4,2,4,2,2,3,4,2,3,"Callado, Organizado, Disciplinado, Relajado, Seguro"
4,4,4,5,1,3,2,3,2,5,"Distante, Empático, Compasivo, Desorganizado, Descuidado, Relajado, Original, Curioso"
3,4,3,3,4,3,2,3,4,3,"Empático, Realista, Práctico"
5,2,3,4,4,2,4,4,3,3,"Callado, Desconfiado, Escéptico, Sereno, Realista"
1,3,1,2,1,5,2,5,4,4,"Entusiasta, Planificador, Sensible al estrés, Intelectual, Imaginativo"
2,4,3,3,1,3,2,3,3,4,"Conciliador, Intelectual, Creativo"
2,4,3,4,1,4,2,3,2,5,"Asertivo, Compasivo, Calmado, Original"
2,5,4,4,3,4,2,2,2,3,"Hablador, Asertivo, Empático, Espontáneo, Flexible, Estable emocionalmente"
4,4,3,3,2,3,2,3,3,4,"Introvertido, Confiado, Creativo, Intelectual"
3,2,2,1,2,2,4,4,4,3,"Introvertido, Crítico, Franco, Planificador, Temperamental"
1,4,2,2,3,5,1,3,4,3,"Entusiasta, Cooperador, Empático, Temperamental"
4,3,2,3,3,3,3,3,3,4,"Introvertido, Distante"
5,4,3,4,2,2,3,3,3,4,"Introvertido, Discreto, Estable emocionalmente, Original"
4,3,1,2,3,2,4,5,3,3,"Introvertido, Directo, Minucioso"
4,4,4,3,1,3,1,3,3,4,"Introvertido, Cooperador, Confiado, Flexible, Espontáneo, Original"
2,4,3,4,3,4,2,4,3,3,"Sociable, Compasivo, Relajado, Estable emocionalmente"
4,3,3,3,2,2,3,2,2,3,"Distante, Reservado, Descuidado, Impulsivo, Resiliente, Relajado"
4,4,2,4,2,3,3,3,2,4,"Reservado, Discreto, Sereno, Calmado, Original, Imaginativo"
2,4,2,4,3,4,2,4,2,3,"Energético, Hablador, Amable, Fiable, Seguro"
4,3,4,2,2,2,3,2,4,4,"Callado, Distante, Descuidado, Relajado, Vulnerable, Creativo, Curioso"
3,1,1,1,5,3,5,4,4,2,"Escéptico, Crítico, Fiable, Preocupado, Convencional"
2,3,2,1,3,3,3,4,4,3,"Eficiente, Temperamental, Preocupado"
3,4,2,5,1,3,2,4,1,5,"Confiado, Empático, Eficiente, Seguro, Sereno, Creativo, Imaginativo"
3,4,3,4,3,4,2,3,2,3,"Cooperador, Confiado, Resiliente"
5,3,4,3,4,2,3,3,3,2,"Callado, Reservado, Relajado, Desorganizado, Tradicional, Convencional"
2,2,2,5,2,4,5,3,2,4,"Sociable, Energético, Escéptico, Sereno, Calmado, Imaginativo, Intelectual"
5,3,4,2,2,1,3,2,4,4,"Callado, Reflexivo, Flexible, Impulsivo, Preocupado, Inseguro, Intelectual"
2,3,1,5,3,4,2,5,2,4,"Extrovertido, Organizado, Planificador, Seguro, Relajado"
3,3,2,2,3,3,3,3,5,3,"Vulnerable, Temperamental"
3,4,2,3,2,2,1,3,3,4,"Callado, Distante, Compasivo, Intelectual, Original"
2,2,3,3,3,3,4,3,3,3,"Escéptico, Competitivo"
4,2,1,3,3,2,4,4,3,3,"Introvertido, Distante, Directo, Desconfiado, Organizado"
4,4,3,4,1,2,3,3,2,5,"Reservado, Reflexivo, Relajado, Calmado, Intelectual"
1,3,2,4,1,4,2,4,2,5,"Energético, Hablador, Minucioso, Eficiente, Resiliente, Calmado, Creativo, Curioso"
3,4,4,5,1,4,2,3,2,5,"Empático, Conciliador, Impulsivo, Relajado, Intelectual, Creativo"
3,2,3,5,1,3,4,3,1,4,"Competitivo, Crítico, Resiliente, Curioso, Imaginativo"
3,4,2,5,4,3,2,3,2,2,"Compasivo, Sereno, Pies en la tierra, Pragmático"
1,3,1,5,4,5,2,4,1,1,"Sociable, Eficiente, Disciplinado, Estable emocionalmente, Relajado, Realista, Práctico"
3,2,2,3,2,3,4,4,2,4,"Directo, Fiable, Relajado, No convencional, Imaginativo"
5,5,3,4,1,1,2,4,2,5,"Distante, Confiado, Resiliente, Estable emocionalmente, Original"
1,3,2,2,3,5,3,4,4,3,"Entusiasta, Minucioso, Planificador, Temperamental, Inseguro"
1,3,4,3,1,4,3,2,2,4,"Extrovertido, Sociable, Desorganizado, Calmado, No convencional, Creativo"
3,3,4,4,1,3,3,3,3,5,"Descuidado, Relajado, Resiliente, Seguro, Curioso, Creativo"
4,3,3,2,4,2,3,3,3,2,"Distante, Pragmático"
3,3,3,4,4,3,2,3,2,3,"Seguro, Pragmático, Pies en la tierra"
2,4,3,1,1,4,1,4,4,4,"Hablador, Empático, Cooperador, Inseguro, Vulnerable, No convencional"
2,3,2,4,3,3,2,3,3,3,"Estable emocionalmente, Calmado"
5,2,3,2,1,2,4,2,3,5,"Reflexivo, Franco, Desconfiado, Relajado, Original"
2,4,3,4,1,4,2,3,2,5,"Energético, Amable, Compasivo, Estable emocionalmente, Calmado, Imaginativo, Creativo"
3,4,2,2,1,2,2,4,3,5,"Reservado, Cooperador, Compasivo, Disciplinado, Original, Imaginativo"
4,4,4,3,1,1,2,2,4,5,"Reservado, Distante, Confiado, Espontáneo, Original"
2,2,2,4,2,3,4,3,3,4,"Franco, Resiliente, Creativo"
4,2,3,5,1,2,4,3,2,4,"Reservado, Discreto, Escéptico, Sereno, Creativo, No convencional"
5,5,4,2,4,2,1,2,3,3,"Introvertido, Callado, Cooperador, Impulsivo, Descuidado, Pies en la tierra"
3,5,2,3,2,3,1,5,3,4,"Cooperador, Planificador, Organizado, Imaginativo"
4,4,3,3,4,1,2,3,3,1,"Callado, Distante, Conciliador, Confiado, Tradicional"
4,4,2,4,3,3,1,3,2,3,"Reflexivo, Compasivo, Cooperador, Seguro"
4,4,2,3,2,3,2,3,3,4,"Distante, Cooperador, Conciliador, Intelectual"
3,4,3,2,3,4,1,2,4,3,"Amable, Conciliador, Flexible, Desorganizado, Preocupado"
2,3,4,3,2,4,3,3,4,3,"Sociable, Espontáneo"
3,5,4,3,2,4,1,2,3,4,"Amable, Espontáneo, Desorganizado, Creativo"
4,3,5,2,3,3,3,2,4,2,"Discreto, Impulsivo, Vulnerable, Inseguro, Práctico"
2,3,3,5,3,4,3,3,1,3,"Asertivo, Hablador, Seguro"
3,5,2,5,1,3,1,4,2,5,"Compasivo, Conciliador, Fiable, Sereno, Curioso, Imaginativo"
2,5,1,5,2,4,2,5,2,4,"Asertivo, Confiado, Planificador, Sereno, Seguro, No convencional"
4,2,3,4,3,3,3,3,2,3,"Discreto, Desconfiado, Escéptico, Seguro"
4,4,2,3,4,1,2,4,3,2,"Distante, Callado, Compasivo, Amable, Eficiente, Convencional, Pies en la tierra"
4,3,3,4,3,2,3,4,2,4,"Reflexivo, Relajado"
2,5,4,4,2,4,1,3,2,4,"Entusiasta, Energético, Confiado, Cooperador, Flexible, Relajado, Calmado, Original"
1,3,1,4,1,4,3,4,2,5,"Asertivo, Organizado, Seguro, Relajado, Creativo"
4,4,3,3,5,2,1,2,3,2,"Callado, Compasivo, Empático, Flexible, Pragmático"
5,4,3,3,3,1,2,3,3,3,"Reflexivo, Callado, Conciliador"
3,4,2,4,3,3,1,4,3,3,"Conciliador, Disciplinado, Sereno, Resiliente"
1,4,3,3,3,5,2,4,2,2,"Sociable, Confiado, Empático, Resiliente, Realista"
4,1,3,2,2,3,5,3,4,4,"Introvertido, Callado, Directo, Ansioso, Vulnerable, No convencional"
1,4,3,3,2,4,2,3,2,4,"Asertivo, Confiado, Conciliador, Sereno, Creativo"
1,3,4,3,3,4,3,3,3,4,"Sociable, Desorganizado, Flexible"
2,4,2,2,3,3,2,4,4,3,"Conciliador, Cooperador, Minucioso, Eficiente, Inseguro, Temperamental"
2,3,3,4,2,4,4,4,2,3,"Entusiasta, Hablador, Desconfiado, Sereno, Relajado"
3,4,3,5,4,3,2,3,1,2,"Cooperador, Sereno, Pragmático"
3,2,3,4,1,4,5,2,3,5,"Escéptico, Flexible, Sereno, Original"
2,4,3,3,1,4,2,3,3,5,"Extrovertido, Cooperador, Empático, No convencional, Imaginativo"
3,3,3,3,2,3,4,2,3,5,"Crítico, Relajado, Impulsivo, Curioso"
4,3,4,3,3,2,3,2,3,3,"Reflexivo, Espontáneo, Flexible"
3,4,4,3,2,4,2,3,3,4,"Confiado, Empático, Espontáneo, Creativo"
3,3,5,3,4,2,3,2,3,2,"Distante, Discreto, Desorganizado, Flexible, Realista"
2,4,1,5,3,5,2,4,2,4,"Energético, Cooperador, Compasivo, Organizado, Eficiente, Relajado"
2,5,3,4,2,4,1,4,2,4,"Entusiasta, Energético, Confiado, Amable, Resiliente, Original"
3,4,3,3,3,2,1,2,3,3,"Distante, Discreto, Confiado, Compasivo, Relajado, Espontáneo"
4,3,3,3,3,2,2,2,3,3,"Reflexivo, Reservado, Impulsivo, Espontáneo"
4,4,4,2,1,3,2,3,3,5,"Introvertido, Compasivo, Desorganizado, Intelectual, Creativo"
3,4,2,3,3,2,2,4,3,3,"Discreto, Amable, Disciplinado"
3,4,3,3,4,3,2,4,3,2,"Amable, Realista, Convencional"
1,4,4,2,3,4,1,3,4,3,"Sociable, Confiado, Impulsivo, Relajado, Temperamental"
3,3,2,4,3,3,3,4,2,3,"Minucioso, Fiable, Relajado, Seguro"
4,2,2,3,3,2,4,3,3,4,"Introvertido, Desconfiado, Franco"
4,3,3,2,2,3,2,3,3,3,"Discreto, Reflexivo"
2,3,2,4,3,3,3,4,2,3,"Minucioso, Disciplinado, Estable emocionalmente"
4,4,2,5,4,3,2,4,1,3,"Reservado, Conciliador, Eficiente, Minucioso, Calmado, Estable emocionalmente, Tradicional, Pragmático"
2,4,1,2,3,4,1,5,3,3,"Extrovertido, Entusiasta, Confiado, Disciplinado, Minucioso"
4,4,3,2,3,2,3,3,4,2,"Reflexivo, Callado, Preocupado, Inseguro, Pies en la tierra"
2,4,1,5,2,3,2,5,1,4,"Confiado, Compasivo, Fiable, Disciplinado, Calmado, Estable emocionalmente, Curioso"
2,4,3,4,3,3,1,4,2,2,"Conciliador, Confiado, Resiliente, Relajado, Realista, Convencional"
2,4,3,4,2,4,2,3,2,3,"Entusiasta, Empático, Calmado, Relajado"
4,3,3,4,2,2,3,3,2,4,"Introvertido, Seguro, No convencional"
5,2,3,3,2,2,4,3,3,3,"Reservado, Desconfiado, Crítico"
3,4,2,3,4,3,2,4,2,3,"Empático, Compasivo, Planificador, Minucioso, Estable emocionalmente, Relajado, Pies en la tierra, Convencional"
2,5,1,3,3,4,1,5,2,4,"Asertivo, Amable, Planificador, Seguro, Sereno"
4,3,3,1,3,2,3,3,4,2,"Discreto, Preocupado, Realista"
4,2,3,2,1,2,5,4,3,5,"Distante, Desconfiado, Creativo"
3,5,2,4,3,3,1,5,2,4,"Compasivo, Eficiente, Relajado, Seguro"
3,3,2,3,2,3,3,5,3,4,"Fiable, Organizado, Creativo, No convencional"
2,3,3,1,3,4,3,4,4,3,"Asertivo, Entusiasta, Temperamental"
3,3,3,4,3,2,3,3,2,3,"Reflexivo, Resiliente"
1,4,1,5,1,5,1,5,1,5,"Sociable, Empático, Confiado, Organizado, Minucioso, Calmado, Resiliente, No convencional, Original"
2,4,3,2,3,4,3,3,4,3,"Energético, Hablador, Sensible al estrés"
4,4,1,4,4,2,1,5,3,3,"Discreto, Confiado, Minucioso, Calmado, Pragmático"
4,3,3,2,4,3,2,3,3,2,"Introvertido, Reflexivo, Pies en la tierra, Pragmático"
1,3,2,2,2,5,2,4,3,5,"Hablador, Asertivo, Disciplinado, Organizado, Intelectual"
2,5,4,3,1,4,1,2,3,5,"Hablador, Confiado, Desorganizado, Flexible, Creativo"
4,3,3,4,2,3,4,4,2,4,"Reservado, Crítico, Calmado, Imaginativo"
3,2,3,2,3,3,5,2,4,3,"Crítico, Franco, Descuidado, Ansioso, Preocupado"
3,4,2,3,1,3,2,5,2,5,"Confiado, Planificador, Organizado, Seguro, Original, Creativo"
4,3,2,2,2,2,3,3,4,3,"Introvertido, Distante, Sensible al estrés, Ansioso"
3,3,5,2,3,2,2,2,4,3,"Callado, Reflexivo, Flexible, Relajado, Temperamental, Vulnerable"
1,3,2,4,3,4,3,3,3,4,"Sociable, Extrovertido, Relajado, Resiliente"
5,2,4,4,2,2,4,3,3,4,"Discreto, Callado, Competitivo, Crítico, Impulsivo, Relajado, Calmado, Resiliente, Curioso"
3,5,3,3,2,3,1,3,3,3,"Conciliador, Compasivo"
3,4,3,4,3,3,2,3,3,3,"Compasivo, Sereno"
3,3,2,5,3,4,3,4,2,4,"Minucioso, Planificador, Sereno, Calmado"
3,4,4,1,1,3,2,2,5,5,"Conciliador, Confiado, Relajado, Espontáneo, Preocupado, Intelectual"
3,4,4,2,4,3,2,2,3,2,"Amable, Empático, Desorganizado, Descuidado, Pragmático"
4,2,4,1,1,2,5,1,4,4,"Reflexivo, Distante, Directo, Desorganizado, Inseguro, Original, Intelectual"
3,4,2,3,3,3,2,3,3,3,"Confiado, Empático"
2,4,1,2,1,4,1,4,3,5,"Energético, Hablador, Confiado, Minucioso, Disciplinado, Original"
2,4,3,5,1,4,3,4,1,4,"Extrovertido, Hablador, Calmado, Curioso"
3,2,5,1,2,3,3,2,5,4,"Escéptico, Impulsivo, Temperamental, Intelectual"
4,3,4,3,4,2,3,3,2,3,"Introvertido, Espontáneo, Relajado, Resiliente, Estable emocionalmente, Tradicional"
5,4,3,2,3,2,2,3,4,3,"Distante, Reflexivo, Confiado, Ansioso"
2,4,3,2,3,4,2,4,3,3,"Hablador, Entusiasta, Compasivo"
3,3,2,2,1,3,2,4,4,5,"Organizado, Inseguro, Imaginativo"
2,4,4,1,3,4,2,2,4,3,"Energético, Amable, Descuidado, Flexible, Ansioso"
1,4,3,5,4,5,3,4,2,3,"Extrovertido, Resiliente, Realista"
1,4,3,4,1,4,1,3,2,5,"Energético, Hablador, Amable, Empático, Resiliente, No convencional, Original"
3,4,3,3,2,3,2,3,3,4,"Cooperador, Conciliador, Imaginativo"
2,3,4,3,2,4,3,3,3,4,"Entusiasta, Energético, Impulsivo, Relajado, Intelectual"
3,4,4,5,3,2,1,2,2,2,"Discreto, Empático, Relajado, Flexible, Resiliente, Seguro, Práctico"
2,4,2,4,2,3,3,4,2,4,"Disciplinado, Resiliente, Imaginativo, Intelectual"
4,3,2,3,2,2,3,4,3,4,"Introvertido, Discreto, Organizado, Creativo, Original"
3,3,2,3,3,2,3,3,2,4,"Reservado, Distante, Seguro"
3,4,2,5,4,4,1,4,2,3,"Confiado, Compasivo, Disciplinado, Organizado, Resiliente, Práctico, Realista"
2,4,5,3,1,4,2,2,2,5,"Asertivo, Amable, Descuidado, Calmado, Imaginativo, No convencional"
1,4,2,5,1,5,1,5,1,4,"Sociable, Confiado, Eficiente, Sereno, Relajado, Curioso, Imaginativo"
1,5,2,5,2,5,1,4,2,4,"Extrovertido, Hablador, Confiado, Eficiente, Planificador, Relajado, Estable emocionalmente, No convencional"
3,3,4,4,2,3,2,2,2,4,"Impulsivo, Flexible, Seguro, Creativo"
1,4,2,3,3,5,2,4,4,3,"Entusiasta, Energético, Conciliador, Cooperador, Eficiente"
3,4,1,3,2,3,2,4,4,4,"Amable, Eficiente, Original"
3,3,3,4,1,3,3,4,1,4,"Calmado, Intelectual"
4,3,4,2,2,2,3,2,3,4,"Discreto, Callado, Relajado, Impulsivo, Creativo"
3,4,1,3,1,3,2,4,3,5,"Amable, Compasivo, Fiable, Intelectual"
2,3,1,4,1,4,2,5,1,4,"Extrovertido, Organizado, Relajado, Intelectual"
5,4,2,4,1,2,2,4,2,4,"Discreto, Empático, Planificador, Estable emocionalmente, Creativo, Original"
3,2,2,3,3,3,4,4,3,3,"Escéptico, Competitivo, Eficiente"
4,2,3,2,1,2,4,3,4,4,"Introvertido, Desconfiado, Ansioso, Intelectual, Curioso"
4,4,2,2,4,2,1,5,3,3,"Introvertido, Cooperador, Fiable, Organizado, Tradicional, Pragmático"
3,4,5,3,2,3,2,2,3,4,"Compasivo, Desorganizado, Flexible, Imaginativo"
2,4,4,5,3,4,1,3,1,3,"Sociable, Extrovertido, Confiado, Empático, Impulsivo, Resiliente, Sereno"
3,3,3,3,2,3,3,4,3,5,"Intelectual, Creativo"
4,4,3,2,4,2,1,3,4,3,"Reflexivo, Empático, Cooperador, Preocupado, Pragmático"
5,4,4,4,3,2,2,3,3,3,"Reflexivo, Amable, Conciliador, Espontáneo, Sereno"
2,3,2,2,2,3,2,3,3,4,Curioso
2,5,1,3,2,3,1,4,4,4,"Confiado, Planificador, Disciplinado, No convencional"
5,3,3,3,2,1,4,3,4,3,"Callado, Competitivo"
5,4,3,3,4,1,2,3,3,3,"Distante, Compasivo, Cooperador, Pragmático, Realista"
3,3,2,4,2,2,3,4,3,3,"Reflexivo, Distante, Organizado, Seguro"
3,3,2,4,3,3,4,4,2,2,"Directo, Crítico, Disciplinado, Eficiente, Sereno, Relajado, Convencional, Pies en la tierra"
3,3,2,4,1,3,3,4,2,5,"Fiable, Relajado, Calmado, Imaginativo, Intelectual"
3,3,2,5,5,3,3,4,2,1,"Fiable, Organizado, Resiliente, Estable emocionalmente, Convencional"
2,4,3,5,3,4,1,3,1,3,"Entusiasta, Extrovertido, Empático, Confiado, Calmado"
2,3,2,3,3,3,3,4,2,3,"Disciplinado, Resiliente, Estable emocionalmente"
5,2,4,2,3,1,4,2,4,3,"Reservado, Introvertido, Directo, Flexible, Desorganizado, Sensible al estrés, Temperamental"
5,3,3,3,1,2,3,3,3,5,"Introvertido, Original, Curioso"
3,4,4,1,2,3,3,2,4,4,"Flexible, Descuidado, Ansioso, Temperamental, Original"
4,4,3,3,3,2,1,3,3,4,"Introvertido, Conciliador"
4,2,2,5,1,2,5,4,1,4,"Reflexivo, Distante, Franco, Minucioso, Sereno, Creativo, Original"
4,3,3,2,3,2,4,3,4,3,"Distante, Introvertido, Competitivo, Sensible al estrés"
5,4,3,3,1,2,2,3,3,4,"Distante, Reservado, Compasivo, Cooperador, Imaginativo, Creativo"
4,3,4,2,3,2,2,1,4,3,"Reflexivo, Impulsivo, Espontáneo, Vulnerable, Inseguro"
3,3,4,2,2,3,2,2,3,4,"Relajado, Flexible, Imaginativo"
3,3,4,2,3,3,3,2,4,3,"Desorganizado, Temperamental, Preocupado"
3,3,3,3,2,4,3,4,2,5,"Calmado, Sereno, Imaginativo, Original"
4,4,3,3,4,2,2,3,3,3,"Discreto, Reservado, Compasivo, Conciliador, Realista"
5,4,2,1,1,1,2,3,4,5,"Discreto, Compasivo, Ansioso, Inseguro, Original, Creativo"
2,3,3,3,2,3,4,3,3,4,"Franco, Desconfiado, Intelectual, Creativo"
2,4,4,5,2,3,3,2,2,3,"Impulsivo, Descuidado, Relajado"
2,3,5,4,3,3,3,2,1,4,"Espontáneo, Calmado, Resiliente"
4,3,3,2,1,2,2,3,4,4,"Discreto, Introvertido, Inseguro, Preocupado, Imaginativo, No convencional"
3,4,2,4,2,3,2,4,3,4,"Compasivo, Minucioso, Resiliente, Sereno, No convencional"
1,5,3,3,1,5,1,3,4,5,"Energético, Conciliador, Confiado, Original"
2,4,3,1,2,4,1,3,4,4,"Sociable, Energético, Compasivo, Vulnerable, Imaginativo, Intelectual"
4,3,3,4,2,3,2,3,2,4,"Introvertido, Sereno, Seguro, Imaginativo"
4,1,2,3,3,3,5,3,3,3,"Reservado, Callado, Desconfiado"
3,4,3,3,2,3,3,3,2,4,"Seguro, Calmado, Creativo"
3,2,4,3,1,3,5,2,3,4,"Competitivo, Espontáneo, Desorganizado, Creativo, Original"
2,3,2,3,2,4,3,3,3,3,"Asertivo, Hablador"
2,5,2,2,3,4,1,3,4,3,"Entusiasta, Energético, Cooperador, Empático, Sensible al estrés"
2,3,2,3,1,3,2,4,3,5,"Fiable, Minucioso, Original, Creativo"
4,1,4,2,2,2,5,3,4,3,"Introvertido, Directo, Flexible, Inseguro"
1,4,1,2,1,4,2,4,3,4,"Extrovertido, Compasivo, Disciplinado, Eficiente, Curioso, Original"
3,4,2,4,1,3,3,3,2,5,"Sereno, Creativo"
4,4,3,2,4,2,2,3,4,1,"Discreto, Distante, Amable, Compasivo, Sensible al estrés, Vulnerable, Realista"
1,3,3,2,1,4,4,3,3,4,"Hablador, Franco, Curioso, Creativo"
2,3,3,3,4,4,4,4,3,2,"Sociable, Desconfiado, Directo, Práctico, Tradicional"
5,4,2,2,3,2,2,4,4,2,"Reflexivo, Compasivo, Confiado, Minucioso, Preocupado, Pies en la tierra, Convencional"
3,4,3,5,2,3,2,3,2,4,"Confiado, Relajado, Intelectual, Curioso"
2,3,2,3,1,4,3,4,3,5,"Extrovertido, Disciplinado, No convencional"
3,3,2,4,3,3,2,3,2,3,Calmado
3,4,2,3,2,3,2,3,3,4,"Compasivo, Intelectual"
3,4,2,5,1,4,3,4,2,4,"Organizado, Minucioso, Sereno, Imaginativo, Curioso"
4,4,3,3,4,3,2,3,3,3,"Reservado, Confiado, Realista"
4,4,3,2,1,1,2,3,3,4,"Callado, Introvertido, Amable, Compasivo, Curioso, Original"
5,3,4,1,4,1,2,3,5,3,"Reflexivo, Callado, Espontáneo, Inseguro, Vulnerable, Práctico"
4,2,3,1,4,2,4,2,5,1,"Distante, Reservado, Franco, Desconfiado, Desorganizado, Vulnerable, Sensible al estrés, Convencional"
2,2,3,3,1,3,4,3,2,5,"Competitivo, Escéptico, Seguro, Creativo"
4,3,5,1,2,2,3,2,4,4,"Discreto, Callado, Espontáneo, Ansioso, Curioso"
1,4,4,4,1,5,1,2,2,5,"Entusiasta, Hablador, Confiado, Conciliador, Impulsivo, Sereno, Resiliente, No convencional"
3,3,3,4,2,3,3,3,2,5,"Calmado, Relajado, Creativo, Intelectual"
3,3,3,4,2,4,3,4,2,4,"Sereno, Original"
3,4,2,3,3,2,3,4,3,3,"Reservado, Fiable, Eficiente"
3,4,3,5,2,2,2,3,2,4,"Distante, Confiado, Resiliente, Calmado, Intelectual"
2,4,2,5,2,4,1,4,1,4,"Entusiasta, Conciliador, Compasivo, Eficiente, Planificador, Sereno, Original, Curioso"
4,3,4,3,1,3,2,2,4,5,"Reflexivo, Callado, Desorganizado, Curioso, Intelectual"
2,5,2,5,3,4,1,5,1,3,"Asertivo, Conciliador, Planificador, Calmado, Relajado"
4,4,2,3,2,2,2,4,3,4,"Distante, Discreto, Confiado, Minucioso, Fiable, Original"
4,3,1,4,3,2,2,4,2,4,"Reservado, Planificador, Relajado"
1,5,2,3,1,4,1,4,3,5,"Energético, Hablador, Confiado, Cooperador, Fiable, Organizado, Curioso, Original"
5,3,3,2,4,2,3,3,4,3,"Reservado, Callado, Temperamental, Pragmático"
5,3,5,4,2,2,3,1,2,4,"Reflexivo, Reservado, Descuidado, Impulsivo, Sereno, Relajado, No convencional, Imaginativo"
2,3,3,3,3,4,3,3,3,3,Hablador
2,3,4,3,1,4,2,2,3,4,"Sociable, Impulsivo, No convencional, Intelectual"
5,5,3,1,2,2,1,3,5,5,"Introvertido, Reflexivo, Cooperador, Conciliador, Ansioso, Imaginativo"
3,3,2,1,3,4,3,3,4,3,"Temperamental, Inseguro"
2,3,3,2,3,4,3,3,3,3,Sociable
3,4,3,3,3,3,3,3,2,3,Relajado
2,4,2,5,3,4,2,3,1,3,"Hablador, Entusiasta, Compasivo, Cooperador, Estable emocionalmente, Relajado"
3,4,2,3,2,2,3,4,3,3,"Callado, Introvertido, Organizado"
2,4,2,4,1,4,2,4,3,4,"Sociable, Conciliador, Cooperador, Organizado, Minucioso, Resiliente, Sereno, Intelectual"
2,3,4,2,3,4,2,3,3,4,"Sociable, Impulsivo"
3,3,3,2,2,3,4,3,4,3,"Crítico, Ansioso"
3,4,4,4,2,3,1,3,3,3,"Amable, Descuidado, Calmado"
3,4,1,5,3,3,2,4,2,3,"Cooperador, Disciplinado, Estable emocionalmente, Resiliente"
4,3,2,2,4,2,3,4,4,3,"Distante, Fiable, Sensible al estrés, Preocupado, Realista"
3,5,3,2,3,2,1,3,3,3,"Reflexivo, Confiado, Empático"
3,4,3,2,3,2,2,3,5,3,"Callado, Cooperador, Preocupado"
2,3,4,3,4,4,3,2,3,3,"Asertivo, Desorganizado, Pragmático"
4,2,2,3,2,3,3,4,4,4,"Callado, Competitivo, Escéptico, Fiable, Creativo, Original"
4,2,1,3,3,3,3,5,2,3,"Reflexivo, Desconfiado, Fiable, Disciplinado, Relajado, Seguro"
3,4,3,3,4,2,1,3,3,3,"Discreto, Introvertido, Cooperador, Confiado, Práctico"
4,3,3,5,2,3,3,3,1,3,"Distante, Reservado, Estable emocionalmente, Seguro"
3,4,5,1,2,3,2,2,4,4,"Compasivo, Espontáneo, Preocupado, Temperamental, No convencional"
3,2,3,3,4,3,4,3,3,2,"Escéptico, Pragmático"
3,3,3,3,4,4,3,3,3,3,Convencional
1,4,1,4,2,5,2,5,2,4,"Sociable, Entusiasta, Confiado, Minucioso, Eficiente, Relajado, Original, Intelectual"
2,4,3,5,3,4,3,3,2,4,"Energético, Calmado, Seguro"
3,3,3,2,2,3,3,4,4,4,"Inseguro, Preocupado, Intelectual"
2,4,1,3,2,3,2,5,3,4,"Conciliador, Cooperador, Fiable, Minucioso, Curioso"
4,2,3,4,3,3,4,3,3,3,"Introvertido, Franco, Crítico, Calmado, Resiliente"
3,4,4,1,3,3,1,3,5,3,"Cooperador, Espontáneo, Impulsivo, Vulnerable"
4,3,2,2,2,3,3,4,3,3,"Reservado, Eficiente, Fiable"
3,4,1,5,2,4,3,4,1,4,"Disciplinado, Calmado, Resiliente, No convencional"
4,3,2,3,2,1,3,3,3,4,"Distante, Creativo, Imaginativo"
2,4,2,5,3,4,2,4,2,4,"Extrovertido, Empático, Disciplinado, Minucioso, Estable emocionalmente, Resiliente"
2,3,3,4,2,5,2,3,3,5,"Entusiasta, Seguro, Sereno, Imaginativo, Original"
4,3,4,3,4,2,3,2,4,2,"Distante, Reflexivo, Flexible, Convencional"
2,3,1,4,2,3,3,5,2,3,"Fiable, Disciplinado, Calmado, Estable emocionalmente"
3,4,2,1,4,3,2,4,4,2,"Empático, Cooperador, Disciplinado, Temperamental, Convencional"
3,3,3,5,1,2,3,3,2,4,"Reservado, Sereno, Estable emocionalmente, No convencional"
3,4,2,3,1,3,3,4,2,5,"Eficiente, Minucioso, Relajado, Sereno, Creativo, No convencional"
5,4,2,5,3,1,2,3,1,3,"Reflexivo, Cooperador, Relajado, Resiliente"
4,3,5,1,5,2,4,2,4,2,"Distante, Reflexivo, Escéptico, Competitivo, Flexible, Preocupado, Convencional"
2,4,1,3,3,3,2,5,3,3,"Conciliador, Cooperador, Fiable"
1,3,3,4,1,5,3,3,2,5,"Entusiasta, Extrovertido, Sereno, Resiliente, Creativo"
5,4,2,2,4,2,2,3,4,2,"Reflexivo, Cooperador, Temperamental, Pragmático"
3,4,4,2,3,3,2,3,4,4,"Compasivo, Descuidado, Flexible, Preocupado"
5,4,3,4,2,1,2,3,2,4,"Reflexivo, Distante, Confiado, Amable, Resiliente, Imaginativo"
4,4,1,3,3,2,2,5,3,2,"Reservado, Amable, Disciplinado, Pies en la tierra"
3,3,2,4,2,3,3,3,2,4,"Resiliente, Relajado, Imaginativo, Intelectual"
1,5,2,4,3,4,1,4,2,3,"Extrovertido, Conciliador, Confiado, Fiable, Calmado, Relajado"
3,3,2,4,2,3,3,3,3,3,"Seguro, Calmado"
3,2,4,5,4,3,4,2,2,2,"Competitivo, Relajado, Desorganizado, Estable emocionalmente, Seguro, Convencional, Realista"
2,5,4,3,2,3,1,2,2,4,"Confiado, Relajado, Resiliente, Creativo"
2,3,4,3,3,3,3,2,4,4,"Relajado, Flexible"
2,3,4,4,2,4,3,3,2,4,"Asertivo, Espontáneo, Flexible, Resiliente, Intelectual, Original"
